third_party_movie_data/extracted_datasets/movie_title,release_year,movie_votes,movie_grade,movie_letter_grade
Before Sunrise,1995,0,0.0,F
Trois couleurs: Rouge,1994,0,0.0,F
Chung Hing sam lam,1994,0,0.0,F
Jurassic Park,1993,0,0.0,F
In the Name of the Father,1993,0,0.0,F
Ba wang bie ji,1993,0,0.0,F
Dà hóng denglong gaogao guà,1991,0,0.0,F
Dead Poets Society,1989,0,0.0,F
Stand by Me,1986,0,0.0,F
Platoon,1986,0,0.0,F
"Paris, Texas",1984,0,0.0,F
Kaze no tani no Naushika,1984,0,0.0,F
The Thing,1982,0,0.0,F
Pink Floyd: The Wall,1982,0,0.0,F
Fitzcarraldo,1982,0,0.0,F
Fanny och Alexander,1982,0,0.0,F
Blade Runner,1982,0,0.0,F
The Elephant Man,1980,0,0.0,F
Life of Brian,1979,0,0.0,F
The Deer Hunter,1978,0,0.0,F
Rocky,1976,0,0.0,F
Network,1976,0,0.0,F
Barry Lyndon,1975,0,0.0,F
Zerkalo,1975,0,0.0,F
Chinatown,1974,0,0.0,F
Paper Moon,1973,0,0.0,F
Viskningar och rop,1972,0,0.0,F
Solaris,1972,0,0.0,F
Le samouraï,1967,0,0.0,F
Cool Hand Luke,1967,0,0.0,F
Persona,1966,0,0.0,F
Andrei Rublev,1966,0,0.0,F
La battaglia di Algeri,1966,0,0.0,F
El ángel exterminador,1962,0,0.0,F
What Ever Happened to Baby Jane?,1962,0,0.0,F
Sanjuro,1962,0,0.0,F
The Man Who Shot Liberty Valance,1962,0,0.0,F
Ivanovo detstvo,1962,0,0.0,F
Jungfrukällan,1960,0,0.0,F
Inherit the Wind,1960,0,0.0,F
Les quatre cents coups,1959,0,0.0,F
Ben-Hur,1959,0,0.0,F
Kakushi-toride no san-akunin,1958,0,0.0,F
Le notti di Cabiria,1957,0,0.0,F
Kumonosu-jô,1957,0,0.0,F
The Bridge on the River Kwai,1957,0,0.0,F
On the Waterfront,1954,0,0.0,F
Le salaire de la peur,1953,0,0.0,F
Ace in the Hole,1951,0,0.0,F
White Heat,1949,0,0.0,F
The Third Man,1949,0,0.0,F
The Red Shoes,1948,0,0.0,F
The Shop Around the Corner,1940,0,0.0,F
Rebecca,1940,0,0.0,F
Mr. Smith Goes to Washington,1939,0,0.0,F
Gone with the Wind,1939,0,0.0,F
La Grande Illusion,1937,0,0.0,F
It Happened One Night,1934,0,0.0,F
La passion de Jeanne d'Arc,1928,0,0.0,F
The Circus,1928,0,0.0,F
Sunrise: A Song of Two Humans,1927,0,0.0,F
The General,1926,0,0.0,F
Das Cabinet des Dr. Caligari,1920,0,0.0,F
Badhaai ho,2018,0,0.0,F
Togo,2019,0,0.0,F
Airlift,2016,0,0.0,F
Bajrangi Bhaijaan,2015,0,0.0,F
Baby,2015,0,0.0,F
La La Land,2016,0,0.0,F
Lion,2016,0,0.0,F
The Martian,2015,0,0.0,F
Zootopia,2016,0,0.0,F
Bãhubali: The Beginning,2015,0,0.0,F
Kaguyahime no monogatari,2013,0,0.0,F
Wonder,2017,0,0.0,F
Gully Boy,2019,0,0.0,F
Special Chabbis,2013,0,0.0,F
Short Term 12,2013,0,0.0,F
Serbuan maut 2: Berandal,2014,0,0.0,F
The Imitation Game,2014,0,0.0,F
Guardians of the Galaxy,2014,0,0.0,F
Blade Runner 2049,2017,0,0.0,F
Her,2013,0,0.0,F
Bohemian Rhapsody,2018,0,0.0,F
The Revenant,2015,0,0.0,F
The Perks of Being a Wallflower,2012,0,0.0,F
Tropa de Elite 2: O Inimigo Agora é Outro,2010,0,0.0,F
The King's Speech,2010,0,0.0,F
The Help,2011,0,0.0,F
Deadpool,2016,0,0.0,F
Darbareye Elly,2009,0,0.0,F
Dev.D,2009,0,0.0,F
Yip Man,2008,0,0.0,F
My Name Is Khan,2010,0,0.0,F
Nefes: Vatan Sagolsun,2009,0,0.0,F
Slumdog Millionaire,2008,0,0.0,F
Black Swan,2010,0,0.0,F
Tropa de Elite,2007,0,0.0,F
The Avengers,2012,0,0.0,F
Persepolis,2007,0,0.0,F
Dallas Buyers Club,2013,0,0.0,F
The Pursuit of Happyness,2006,0,0.0,F
Blood Diamond,2006,0,0.0,F
The Bourne Ultimatum,2007,0,0.0,F
Bin-jip,2004,0,0.0,F
Sin City,2005,0,0.0,F
Le scaphandre et le papillon,2007,0,0.0,F
G.O.R.A.,2004,0,0.0,F
Ratatouille,2007,0,0.0,F
Casino Royale,2006,0,0.0,F
Kill Bill: Vol. 2,2004,0,0.0,F
Vozvrashchenie,2003,0,0.0,F
Bom Yeoareum Gaeul Gyeoul Geurigo Bom,2003,0,0.0,F
Mar adentro,2014,0,0.0,F
Cinderella Man,2005,0,0.0,F
Kal Ho Naa Ho,2003,0,0.0,F
Mou gaan dou,2002,0,0.0,F
Pirates of the Caribbean: The Curse of the Black Pearl,2003,0,0.0,F
Big Fish,2003,0,0.0,F
The Incredibles,2004,0,0.0,F
Yeopgijeogin geunyeo,2001,0,0.0,F
Dogville,2003,0,0.0,F
Vizontele,2001,0,0.0,F
Donnie Darko,2001,0,0.0,F
Magnolia,1999,0,0.0,F
Dancer in the Dark,2000,0,0.0,F
The Straight Story,1999,0,0.0,F
Pâfekuto burû,1997,0,0.0,F
Festen,1998,0,0.0,F
Central do Brasil,1998,0,0.0,F
The Iron Giant,1999,0,0.0,F
Knockin' on Heaven's Door,1997,0,0.0,F
Sling Blade,1996,0,0.0,F
Secrets & Lies,1996,0,0.0,F
Twelve Monkeys,1995,0,0.0,F
Kôkaku Kidôtai,1995,0,0.0,F
The Nightmare Before Christmas,1993,0,0.0,F
Groundhog Day,1993,0,0.0,F
Bound by Honor,1993,0,0.0,F
Scent of a Woman,1992,0,0.0,F
Aladdin,1992,0,0.0,F
JFK,1991,0,0.0,F
Beauty and the Beast,1991,0,0.0,F
Dances with Wolves,1990,0,0.0,F
Do the Right Thing,1989,0,0.0,F
Rain Man,1988,0,0.0,F
Akira,1988,0,0.0,F
The Princess Bride,1987,0,0.0,F
Der Himmel über Berlin,1987,0,0.0,F
Au revoir les enfants,1987,0,0.0,F
Tenkû no shiro Rapyuta,1986,0,0.0,F
The Terminator,1984,0,0.0,F
Gandhi,1982,0,0.0,F
Kagemusha,1980,0,0.0,F
Being There,1979,0,0.0,F
Annie Hall,1977,0,0.0,F
Jaws,1975,0,0.0,F
Dog Day Afternoon,1975,0,0.0,F
Young Frankenstein,1974,0,0.0,F
Papillon,1973,0,0.0,F
The Exorcist,1973,0,0.0,F
Sleuth,1972,0,0.0,F
The Last Picture Show,1971,0,0.0,F
Fiddler on the Roof,1971,0,0.0,F
Il conformista,1970,0,0.0,F
Butch Cassidy and the Sundance Kid,1969,0,0.0,F
Rosemary's Baby,1968,0,0.0,F
Planet of the Apes,1968,0,0.0,F
The Graduate,1967,0,0.0,F
Who's Afraid of Virginia Woolf?,1966,0,0.0,F
The Sound of Music,1965,0,0.0,F
Doctor Zhivago,1965,0,0.0,F
Per un pugno di dollari,1964,0,0.0,F
8½,1963,0,0.0,F
Vivre sa vie: Film en douze tableaux,1962,0,0.0,F
The Hustler,1961,0,0.0,F
La dolce vita,1960,0,0.0,F
Rio Bravo,1959,0,0.0,F
Anatomy of a Murder,1959,0,0.0,F
Touch of Evil,1958,0,0.0,F
Cat on a Hot Tin Roof,1958,0,0.0,F
Sweet Smell of Success,1957,0,0.0,F
The Killing,1956,0,0.0,F
The Night of the Hunter,1955,0,0.0,F
La Strada,1954,0,0.0,F
Les diaboliques,1955,0,0.0,F
Stalag 17,1953,0,0.0,F
Roman Holiday,1953,0,0.0,F
A Streetcar Named Desire,1951,0,0.0,F
In a Lonely Place,1950,0,0.0,F
Kind Hearts and Coronets,1949,0,0.0,F
Rope,1948,0,0.0,F
Out of the Past,1947,0,0.0,F
Brief Encounter,1945,0,0.0,F
Laura,1944,0,0.0,F
The Best Years of Our Lives,1946,0,0.0,F
Arsenic and Old Lace,1942,0,0.0,F
The Maltese Falcon,1941,0,0.0,F
The Grapes of Wrath,1940,0,0.0,F
The Wizard of Oz,1939,0,0.0,F
La règle du jeu,1939,0,0.0,F
The Thin Man,1934,0,0.0,F
All Quiet on the Western Front,1930,0,0.0,F
Bronenosets Potemkin,1925,0,0.0,F
Knives Out,2019,0,0.0,F
Dil Bechara,2020,0,0.0,F
Manbiki kazoku,2018,0,0.0,F
Marriage Story,2019,0,0.0,F
Call Me by Your Name,2017,0,0.0,F
"I, Daniel Blake",2016,0,0.0,F
Isle of Dogs,2018,0,0.0,F
Hunt for the Wilderpeople,2016,0,0.0,F
Captain Fantastic,2016,0,0.0,F
Sing Street,2016,0,0.0,F
Thor: Ragnarok,2017,0,0.0,F
Nightcrawler,2014,0,0.0,F
Jojo Rabbit,2019,0,0.0,F
Arrival,2016,0,0.0,F
Star Wars: Episode VII - The Force Awakens,2015,0,0.0,F
Before Midnight,2013,0,0.0,F
X-Men: Days of Future Past,2014,0,0.0,F
Bir Zamanlar Anadolu'da,2011,0,0.0,F
The Artist,2011,0,0.0,F
Edge of Tomorrow,2014,0,0.0,F
Amour,2012,0,0.0,F
The Irishman,2019,0,0.0,F
Un prophète,2009,0,0.0,F
Moon,2009,0,0.0,F
Låt den rätte komma in,2008,0,0.0,F
District 9,2009,0,0.0,F
The Wrestler,2008,0,0.0,F
Jab We Met,2007,0,0.0,F
Boyhood,2014,0,0.0,F
"4 luni, 3 saptamâni si 2 zile",2007,0,0.0,F
Star Trek,2009,0,0.0,F
In Bruges,2008,0,0.0,F
The Man from Earth,2007,0,0.0,F
Letters from Iwo Jima,2006,0,0.0,F
The Fall,2006,0,0.0,F
Life of Pi,2012,0,0.0,F
Fantastic Mr. Fox,2009,0,0.0,F
C.R.A.Z.Y.,2005,0,0.0,F
Les choristes,2004,0,0.0,F
Iron Man,2008,0,0.0,F
Shaun of the Dead,2004,0,0.0,F
Gegen die Wand,2004,0,0.0,F
Mystic River,2003,0,0.0,F
Harry Potter and the Prisoner of Azkaban,2004,0,0.0,F
Ying xiong,2002,0,0.0,F
Hable con ella,2002,0,0.0,F
No Man's Land,2001,0,0.0,F
Cowboy Bebop: Tengoku no tobira,2001,0,0.0,F
The Bourne Identity,2002,0,0.0,F
Nueve reinas,2000,0,0.0,F
Children of Men,2006,0,0.0,F
Almost Famous,2000,0,0.0,F
Mulholland Dr.,2001,0,0.0,F
Toy Story 2,1999,0,0.0,F
Boogie Nights,1997,0,0.0,F
Mimi wo sumaseba,1995,0,0.0,F
Once Were Warriors,1994,0,0.0,F
True Romance,1993,0,0.0,F
Trois couleurs: Bleu,1993,0,0.0,F
Jûbê ninpûchô,1993,0,0.0,F
Carlito's Way,1993,0,0.0,F
Edward Scissorhands,1990,0,0.0,F
My Left Foot: The Story of Christy Brown,1989,0,0.0,F
Crimes and Misdemeanors,1989,0,0.0,F
The Untouchables,1987,0,0.0,F
Hannah and Her Sisters,1986,0,0.0,F
Brazil,1985,0,0.0,F
This Is Spinal Tap,1984,0,0.0,F
A Christmas Story,1983,0,0.0,F
The Blues Brothers,1980,0,0.0,F
Manhattan,1979,0,0.0,F
All That Jazz,1979,0,0.0,F
Dawn of the Dead,1978,0,0.0,F
All the President's Men,1976,0,0.0,F
La montaña sagrada,1973,0,0.0,F
Amarcord,1973,0,0.0,F
Le charme discret de la bourgeoisie,1972,0,0.0,F
"Aguirre, der Zorn Gottes",1972,0,0.0,F
Harold and Maude,1971,0,0.0,F
Patton,1970,0,0.0,F
The Wild Bunch,1969,0,0.0,F
Night of the Living Dead,1968,0,0.0,F
The Lion in Winter,1968,0,0.0,F
In the Heat of the Night,1967,0,0.0,F
Charade,1963,0,0.0,F
The Manchurian Candidate,1962,0,0.0,F
Spartacus,1960,0,0.0,F
L'avventura,1960,0,0.0,F
Hiroshima mon amour,1959,0,0.0,F
The Ten Commandments,1956,0,0.0,F
The Searchers,1956,0,0.0,F
East of Eden,1955,0,0.0,F
High Noon,1952,0,0.0,F
Strangers on a Train,1951,0,0.0,F
Harvey,1950,0,0.0,F
Miracle on 34th Street,1947,0,0.0,F
Notorious,1946,0,0.0,F
The Big Sleep,1946,0,0.0,F
The Lost Weekend,1945,0,0.0,F
The Philadelphia Story,1940,0,0.0,F
His Girl Friday,1940,0,0.0,F
The Adventures of Robin Hood,1938,0,0.0,F
A Night at the Opera,1935,0,0.0,F
King Kong,1933,0,0.0,F
Freaks,1932,0,0.0,F
Nosferatu,1922,0,0.0,F
The Gentlemen,2019,0,0.0,F
Raazi,2018,0,0.0,F
Sound of Metal,2019,0,0.0,F
Forushande,2016,0,0.0,F
Dunkirk,2017,0,0.0,F
Perfetti sconosciuti,2016,0,0.0,F
Hidden Figures,2016,0,0.0,F
Paddington 2,2017,0,0.0,F
Udta Punjab,2016,0,0.0,F
Kubo and the Two Strings,2016,0,0.0,F
M.S. Dhoni: The Untold Story,2016,0,0.0,F
Manchester by the Sea,2016,0,0.0,F
Under sandet,2015,0,0.0,F
Rogue One,2016,0,0.0,F
Captain America: Civil War,2016,0,0.0,F
The Hateful Eight,2015,0,0.0,F
Little Women,2019,0,0.0,F
Loving Vincent,2017,0,0.0,F
Pride,2014,0,0.0,F
Le passé,2013,0,0.0,F
La grande bellezza,2013,0,0.0,F
The Lunchbox,2013,0,0.0,F
Vicky Donor,2012,0,0.0,F
Big Hero 6,2014,0,0.0,F
About Time,2013,0,0.0,F
English Vinglish,2012,0,0.0,F
Kaze tachinu,2013,0,0.0,F
Toy Story 4,2019,0,0.0,F
La migliore offerta,2013,0,0.0,F
Moonrise Kingdom,2012,0,0.0,F
How to Train Your Dragon 2,2014,0,0.0,F
The Big Short,2015,0,0.0,F
Kokuhaku,2010,0,0.0,F
Ang-ma-reul bo-at-da,2010,0,0.0,F
The Girl with the Dragon Tattoo,2011,0,0.0,F
Captain Phillips,2013,0,0.0,F
Ajeossi,2010,0,0.0,F
Straight Outta Compton,2015,0,0.0,F
Madeo,2009,0,0.0,F
Chugyeokja,2008,0,0.0,F
The Hobbit: The Desolation of Smaug,2013,0,0.0,F
Das weiße Band - Eine deutsche Kindergeschichte,2009,0,0.0,F
Män som hatar kvinnor,2009,0,0.0,F
The Trial of the Chicago 7,2020,0,0.0,F
Druk,2020,0,0.0,F
The Fighter,2010,0,0.0,F
Taken,2008,0,0.0,F
The Boy in the Striped Pyjamas,2008,0,0.0,F
Once,2007,0,0.0,F
The Hobbit: An Unexpected Journey,2012,0,0.0,F
Auf der anderen Seite,2007,0,0.0,F
Atonement,2007,0,0.0,F
Drive,2011,0,0.0,F
American Gangster,2007,0,0.0,F
Avatar,2009,0,0.0,F
Mr. Nobody,2009,0,0.0,F
Apocalypto,2006,0,0.0,F
Little Miss Sunshine,2006,0,0.0,F
Hot Fuzz,2007,0,0.0,F
The Curious Case of Benjamin Button,2008,0,0.0,F
Veer-Zaara,2004,0,0.0,F
Adams æbler,2005,0,0.0,F
Pride & Prejudice,2005,0,0.0,F
The World's Fastest Indian,2005,0,0.0,F
